id,userName,password,role,is_active,is_authenticated
1,client10,pbkdf2_sha256$600000$3ICe2EQA3HOoOs30Kc9gjw$DufZCcK/vZPUahWV0eHYy5TYX0XPphdU3jwPRLTbMCE=,Client,t,t
2,client11,pbkdf2_sha256$600000$ICiRodseU04hrCbFZnGIyq$keS5Ejk/KpyLO3GYPQY6ygNITRDsXi/6dMhmu9Phevw=,Client,t,t
3,client12,pbkdf2_sha256$600000$o7ZjlDbcsg1kPGx4YKDR1D$5qzWvxfrrk2GdGnRxRqUtFpubJb30pdG4mbmPpH1deM=,Client,t,t
5,client14,pbkdf2_sha256$600000$yCgfo7RBcAdEGy1QpTBUtm$EBs6ieSKl+aoySOi68Ralg9igbWIIEUjTKPofASlHMY=,Client,t,t
10,client15,pbkdf2_sha256$600000$VIPGGhj3WDZLVIsmyCKszB$op5e5Pk86yQlOLfORbKkBwtvBMK7ys3mZyOZt/vtXRE=,Client,t,t
11,client16,pbkdf2_sha256$600000$zvrL1Gj0PDQlpOWcw9yJJ2$qGeczsn9Ro5EzXzCoTFgEH03naLh72GtF+n3HOGMxfo=,Client,t,t
12,client17,pbkdf2_sha256$600000$nf5QXKPMScht96SK58XNpV$W/9AKqxHPCLPcRklXJV4EE8cS+rLUS1lRSER7LASiz8=,Client,t,t
13,client18,pbkdf2_sha256$600000$FRDcnIgDvWXzdl0Bnzx7hP$EYZXweaeAY5AfyfguydrxQvcmrDNxk8OSb9EIVPu7NI=,Client,t,t
14,client19,pbkdf2_sha256$600000$i7c12ua56AtzxScDcEZp4t$su1vJs8Drm7NzPDfCYTi8CNCRagA2xnjxCTq8y/Dv68=,Client,t,t
15,client20,pbkdf2_sha256$600000$hl0KlIxzNAfhgIGCrBCGlU$lIXoTYWuF7TrcH1UyxFT2S7MGt/aS74oVL56mjavx3k=,Client,t,t
16,client21,pbkdf2_sha256$600000$hwTh3zmz0gRnD73ZJuVcvL$ikoim54a8lCn7j709Hb+3BVeQu1raDEu/ky/BxSXfcE=,Client,t,t
44,admin2,pbkdf2_sha256$600000$EgJZzMcATwzWhyv00YZGZX$jDSx/9pKKPl2OWy9UQYYcpnyOlLo59PjaV76UyWbtrI=,Administrator,t,t
33,Mari,pbkdf2_sha256$600000$33RII6eaRwYQOVrhMcmZbp$DLJ5HAOFIvQcS38f0WniAXPp0cVzfPM9RW4whMKt+80=,Client,t,t
45,admin1,pbkdf2_sha256$600000$7cMNB8wKuhtg0TMBMRwOCn$L76fqT1jJnRBh9BintSLc2L/9b7dGnyjEBzQP4wfPt4=,Administrator,t,t
46,admin3,pbkdf2_sha256$600000$LM0Vx4fvNmgUhNup88M3si$AMBUJVtM4D8HTY8mPmdVmpoLUX1JXo/MKKtKiejTPrA=,Administrator,t,t
47,admin4,pbkdf2_sha256$600000$cV9dhOvRARzTo9YEgLRPsl$aXwtrUuutpRsQcC+TAJ7IzdyDpe1inUA1i8v08wayTM=,Administrator,t,t
48,admin5,pbkdf2_sha256$600000$d5KA4DwVoSThl31WeHbSI5$cPuCmmbETBqC2OdYe2FVijbOXd2yDStKOPSXf49ltac=,Administrator,t,t
49,admin6,pbkdf2_sha256$600000$sHKnRTS713rORThzyqBZT8$U9mbg9Zfx2lxMF5vS8gRKkUhzGsXGK6WW1i7lHNfPck=,Administrator,t,t
50,admin7,pbkdf2_sha256$600000$Exxf8KSPx0UhnIiqNnOmba$7Ccr7JBpkxbdGwEMd70rmFbaMDEE6o36w8NaSvsKfrI=,Administrator,t,t
51,Dina,pbkdf2_sha256$600000$90bE9LuRX25Efi2hNcfzXV$Qrmd4sH70htQNyZTi6HzQbj0a+MXCAN3V/qdLQ8Pwgc=,Administrator,t,t
52,nada,pbkdf2_sha256$600000$8q49Kl0Ry2BioWeYoje7eM$flBADNyqiqisVK3edQFl+vfsP9lxqvRu7ofuKE80dGk=,Moderator,t,t
55,mariMod,pbkdf2_sha256$600000$T7oCrk3hNtyy8qvNPHjzY9$iAZfpQb0WaygSPa/wV0Y5mquBJ42MrMQ7kzeXrDvX8k=,Moderator,t,t
